code,name,window,date,close,volume,trading_value
047050,포스코인터내셔널,평가일/2M,2026-04-02,79500,1757570,137926316700
047050,포스코인터내셔널,평가일/2M,2026-04-03,85100,1805281,150529526100
047050,포스코인터내셔널,평가일/2M,2026-04-06,80600,935396,76395656200
047050,포스코인터내셔널,평가일/2M,2026-04-07,76700,928357,71824575750
047050,포스코인터내셔널,평가일/2M,2026-04-08,73400,1660870,121847623850
047050,포스코인터내셔널,평가일/2M,2026-04-09,73900,867733,64430006400
047050,포스코인터내셔널,평가일/2M,2026-04-10,75200,454122,34124513150
047050,포스코인터내셔널,평가일/2M,2026-04-13,74800,644015,48197628700
047050,포스코인터내셔널,평가일/2M,2026-04-14,72400,1016714,73448103600
047050,포스코인터내셔널,평가일/2M,2026-04-15,72700,764637,55291343450
047050,포스코인터내셔널,평가일/2M,2026-04-16,72800,522900,37981083000
047050,포스코인터내셔널,기준일/2M,2025-10-31,55000,476341,26415197400
047050,포스코인터내셔널,기준일/2M,2025-11-03,55300,458367,25208382700
047050,포스코인터내셔널,기준일/2M,2025-11-04,54600,477266,26445693800
047050,포스코인터내셔널,기준일/2M,2025-11-05,52800,455783,24028690300
047050,포스코인터내셔널,기준일/2M,2025-11-06,53100,248516,13226003950
047050,포스코인터내셔널,기준일/2M,2025-11-07,51600,349868,18045909700
047050,포스코인터내셔널,기준일/2M,2025-11-10,52600,253671,13284824150
047050,포스코인터내셔널,기준일/2M,2025-11-11,52900,228151,12092764300
047050,포스코인터내셔널,기준일/2M,2025-11-12,54300,352913,19029196700
047050,포스코인터내셔널,기준일/2M,2025-11-13,54500,462952,25267819350
047050,포스코인터내셔널,기준일/2M,2025-11-14,52900,240020,12824922050
047050,포스코인터내셔널,기준일/2M,2025-11-17,53400,256235,13618866700
047050,포스코인터내셔널,기준일/2M,2025-11-18,52000,251366,13161060300
047050,포스코인터내셔널,기준일/2M,2025-11-19,51600,180852,9328643200
047050,포스코인터내셔널,기준일/2M,2025-11-20,53300,251159,13318415900
047050,포스코인터내셔널,기준일/2M,2025-11-21,52800,320514,16831286950
047050,포스코인터내셔널,기준일/2M,2025-11-24,51200,320831,16571228150
047050,포스코인터내셔널,기준일/2M,2025-11-25,52100,254786,13332144050
047050,포스코인터내셔널,기준일/2M,2025-11-26,53800,261353,13958031300
047050,포스코인터내셔널,기준일/2M,2025-11-27,53800,270332,14661504350
047050,포스코인터내셔널,기준일/2M,2025-11-28,53600,235758,12661760800
